Studio,Year,Genre1,Total Gross,RottenTomato
Sony,2005,Drama,86568055.0,40.5
Sony,2006,Action,377978212.0,60.333333333333336
Sony,2006,Adventure,71726025.0,23.0
Sony,2006,Animation,158766269.0,61.0
Sony,2006,Biography,163566459.0,67.0
Sony,2006,Comedy,301085188.0,40.75
Sony,2006,Crime,38432823.0,43.0
Sony,2006,Horror,86126471.0,20.5
Sony,2006,Mystery,217536138.0,25.0
Sony,2006,Short,58645052.0,12.0
Sony,2007,Action,502981578.0,37.333333333333336
Sony,2007,Animation,58867694.0,79.0
Sony,2007,Comedy,220247693.0,50.333333333333336
Sony,2007,Crime,52548128.0,33.5
Sony,2007,Drama,72196277.0,30.5
Sony,2007,Horror,39568996.0,51.0
Sony,2008,Action,300212580.0,38.0
Sony,2008,Comedy,326225046.0,44.8
Sony,2008,Crime,149110706.0,32.0
Sony,2008,Drama,69951824.0,26.0
Sony,2009,Action,358250660.0,33.666666666666664
Sony,2009,Adventure,118927565.0,52.5
Sony,2009,Animation,167064335.0,54.0
Sony,2009,Comedy,88915214.0,13.0
Sony,2009,Drama,68261644.0,19.0
Sony,2009,Sci-Fi,115646235.0,90.0
Sony,2010,Action,666327407.0,41.42857142857143
Sony,2010,Biography,96400000.0,96.0
Sony,2010,Comedy,266615270.0,42.25
Sony,2010,Drama,199614665.0,33.666666666666664
Sony,2011,Action,255303505.0,38.0
Sony,2011,Animation,189054649.0,57.0
Sony,2011,Biography,75605492.0,94.0
Sony,2011,Comedy,506338136.0,42.57142857142857
Sony,2011,Crime,102515793.0,86.0
Sony,2011,Drama,112784862.0,39.333333333333336
Sony,2012,Action,566487928.0,64.0
Sony,2012,Animation,179331761.0,65.0
Sony,2012,Comedy,191747205.0,49.666666666666664
Sony,2012,Drama,220734746.0,61.0
Sony,2013,Action,164791302.0,24.666666666666668
Sony,2013,Animation,190811351.0,42.0
Sony,2013,Biography,107100855.0,93.0
Sony,2013,Comedy,223600000.0,45.0
Sony,2013,Crime,99165609.0,69.0
Sony,2013,Documentary,28873374.0,63.0
Sony,2013,Drama,28440607.0,70.0
Sony,2014,Action,546062579.0,64.4
Sony,2014,Biography,0.0,49.0
Sony,2014,Comedy,132370531.0,34.25
Sony,2014,Crime,42428931.0,9.0
Sony,2014,Drama,67239378.0,25.0
Sony,2014,Horror,18871466.0,29.0
Sony,2015,Action,275189740.0,29.25
Sony,2015,Adventure,107395926.0,71.0
Sony,2015,Animation,0.0,55.0
Sony,2015,Biography,23268108.0,60.0
Sony,2015,Comedy,15669178.0,36.666666666666664
Sony,2015,Drama,112791043.0,26.0
Sony,2016,Action,256032157.0,45.0
Sony,2016,Animation,205168602.0,62.5
Sony,2016,Biography,0.0,43.0
Sony,2016,Crime,29740655.0,11.0
Sony,2016,Drama,100014092.0,30.0
Sony,2017,Action,885783382.0,69.25
Sony,2017,Animation,171513091.0,30.333333333333332
Sony,2017,Comedy,22092592.0,44.0
Universal,1990,Action,33878502.0,83.0
Universal,1990,Comedy,70137975.0,44.5
Universal,1990,Drama,0.0,22.0
Universal,1991,Animation,22166041.0,45.0
Universal,1991,Comedy,24204154.0,61.0
Universal,1991,Crime,79091969.0,75.0
Universal,1991,Drama,82418501.0,73.0
Universal,1992,Adventure,58883840.0,48.0
Universal,1992,Comedy,108546740.0,56.0
Universal,1992,Drama,63095253.0,88.0
Universal,1993,Action,12526677.0,31.0
Universal,1993,Adventure,357067947.0,92.0
Universal,1993,Biography,121162630.0,95.5
Universal,1994,Action,32063435.0,34.0
Universal,1994,Comedy,21011318.0,21.0
Universal,1994,Drama,16928556.0,25.0
Universal,1995,Adventure,172071312.0,95.0
Universal,1995,Comedy,163987104.0,60.0
Universal,1995,Crime,42512375.0,80.0
Universal,1996,Comedy,16759216.0,63.0
Universal,1996,Drama,20831000.0,39.0
Universal,1997,Action,392407859.0,34.25
Universal,1997,Adventure,45319423.0,42.0
Universal,1997,Comedy,213053610.0,48.0
Universal,1997,Drama,92553089.0,74.5
Universal,1998,Action,87617836.0,32.5
Universal,1998,Adventure,45195128.0,62.5
Universal,1998,Animation,192171051.0,87.5
Universal,1998,Biography,135026902.0,23.0
Universal,1998,Comedy,88845057.0,51.666666666666664
Universal,1998,Crime,37562568.0,93.0
Universal,1998,Drama,67864940.0,69.5
Universal,1998,Horror,0.0,37.0
Universal,1999,Action,252036542.0,42.666666666666664
Universal,1999,Adventure,71583916.0,90.0
Universal,1999,Biography,117854471.0,78.66666666666667
Universal,1999,Comedy,463012477.0,60.375
Universal,1999,Crime,66518655.0,28.0
Universal,1999,Drama,179702834.0,58.0
Universal,1999,Fantasy,91411151.0,16.0
Universal,2000,Action,299873962.0,51.333333333333336
Universal,2000,Adventure,101075627.0,73.0
